Date,Post Type,full_text,Video Thumbnail,Image,Like,Retweet,Reply
2024-03-09T02:04:30.000Z,text,आईए फेलको हुदैन ?नजानेर सो धेको जन्या भए उत्तर दिया खै त?,,,6,1,
2024-03-09T01:52:46.000Z,text,हैन पोल्टिकल साईन्सको कुरा हुदैन र?,,,2,,1
2024-03-09T01:50:30.000Z,text,पोल्टिक्सले पनि दिन्छ नि सर।,,,10,,2
2024-03-09T01:19:05.000Z,text,"१८ केजीको कुनै पिण्ड ११ किमी प्रति सेकेण्डको गतिले ९०डिग्रीको कोणमा १००किमी दुरीमा पुगी सोही बिन्दुबाट समानान्तर रेखा हुदै ८०० किमी पार गरेर ९०डिग्रीकै कोणमा १६५ केजीको पिण्डमा ठोक्किदा कति किलो वा मेघाटनको उर्जा उत्सर्जन हुन्छ?पहिलो,दोस्रो र तेश्रो दुरी पार गर्न कति समय लाग्छ?",,,269,53,144
2024-03-08T12:16:07.000Z,text,गज्जबले स्वाद लिनु,,,1,,2
2024-03-08T04:52:56.000Z,text,क्या चोट परेछ हजुर यस्तो १२ पटकमा फेरि मुटु जोडिन सक्ला नि तर रमाईलो है।,,,2,,
2024-03-08T02:52:31.000Z,text,गईदिए भै गो नि क्याटोराईज  किन गर्न परो र?,,,2,,2
2024-03-08T02:44:04.000Z,text,नबनाए त लात्ताले हान्ने रे त?,,,2,,1
2024-03-08T02:31:50.000Z,text,धोखा खानु भन्दा घोट्टा खान राम्रो आजको दिन जय शम्भो,,,1,,1
2024-03-08T01:17:28.000Z,text,"८ मार्च,समान अधिकार स्थापनाको ऐतिहासिक संघर्ष भएको दिन,११४औं अन्तराष्ट्रिय नारी वर्षको अवसरमा देश भित्र र देशवाहिर रहेका सबै नेपाली नारीहरुमा सुख,खुसी र प्रगतिको हार्दिक  शुभकामना।समानुपातिक हैन,वडादेखि प्रतिनीधि सभासम्म नै ३३%प्रत्यक्ष महिला निर्वाचित हुने कानुन यसै बर्ष बनाऔं।",,,88,14,69
2024-03-07T11:11:07.000Z,text,सक्दो गरेकै छु अब दुईचार वटा अधुरा त हान्नै पर्छ पर्छ।,,,2,,
2024-03-07T10:33:15.000Z,text,नभत्केसम्म,,,1,,1
2024-03-07T05:10:58.000Z,text,भए सहने अरु के टाउको दुखाउने?,,,1,,2
2024-03-07T04:59:28.000Z,text,पुरानै हुन तर कतिको ६४ दिन मात्र थियो।,,,1,,1
2024-03-07T03:52:56.000Z,text,रमाउनेहरु रमाई रहुन गुनासो छैन।,,,,,
2024-03-07T03:50:17.000Z,text,समय आएपछि सहमती अनुसार।,,,3,,1
2024-03-07T03:49:00.000Z,text,नबनाएर सुख पाउलान त?,,,,,1
2024-03-07T03:46:19.000Z,text,किन चिन्ता त ?,,,1,,1
2024-03-07T03:44:10.000Z,text,रुमाल होला नि साथमा।,,,1,,1
2024-03-07T03:38:34.000Z,text,त्यै भएर ।,,,,,1
2024-03-07T03:37:59.000Z,text,आठ जना छन त हाम्रा।,,,1,,2
2024-03-07T03:36:24.000Z,text,प्रमको निरन्तरता हो नि ?,,,,,1
2024-03-07T03:07:51.000Z,text,धुलेपीठो हुने डर भए जनताको अस्पतालमा भर्ना हुने ।,,,1,,1
2024-03-07T02:58:24.000Z,text,हनिमुन पछि संकेत आउला।,,,5,2,1
2024-03-07T02:57:33.000Z,text,त्यस कै लागी मात्र जन्मेको नभएर!,,,8,2,1
2024-03-07T02:54:03.000Z,text,"झण्डै अढाई वर्षदेखी हामीले सुधार भएन भनेका निर्माण,कृषि,शिक्षा,स्वास्थ्य,परराष्ट्र र अर्थतन्त्रमा जनताले देख्ने र महसुस गर्ने गर्ने गरी ब्यापक सुधार हुने आशा सहित नेकपा एमाले र अन्य पार्टीबाट नयाँ गठबन्धन सरकारका सहभागी उपप्रम सहित सबै मन्त्रीहरुलाई कार्यकालको हार्दिक शुभकामना!",,,285,38,48
2024-03-04T12:52:43.000Z,text,आफ्टर सक्ड आएन भने।,,,2,,
2024-03-04T12:48:31.000Z,text,अदालतले लग्यो।,,,1,,1
2024-03-04T12:47:25.000Z,text,मलाई मेरै दुई बाटोको चसो छ र थप अरु केही सानातिना काम पनि।,,,,,3
2024-03-04T09:16:09.000Z,image,"फागुन २१ भुल्दैनौ।सुखानी,झापा आन्दोलनका पाच शदीदको सम्मानमानमा नेकपा एमालले  टोखा नपा कमिटीले आयोजना गरेको कार्यक्रम काठमाण्डौमा।",,https://pbs.twimg.com/media/GH0MmqmbQAAzodv?format=jpg&name=medium,154,12,12
2024-03-03T08:27:22.000Z,text,गरीबहरु सबै मारिदिए गरीबीको मुद्दै समाप्त गृहले बन्दुक देला कि कसो रक्लाई क्या मोटिभेसन गरेछ पाल्को एउटा पलिकाले राम्रो छैन त?,,,1,,
2024-03-03T02:54:14.000Z,text,त्यो मेरो कुरो हो अरुको कुरो था छैन,,,3,,
2024-03-03T02:50:58.000Z,text,बेलुकासम्म के न होला झै गर्छन त केहीहरु नहुने कुराको  आशा धेरै गर्नेलाई भन्देको हो,,,2,,
2024-03-03T01:45:23.000Z,text,"नेपालमा अनुमान गर्नै नसकिने तर मान्छेले अनुमान र चर्चा गरीरहने विषय मौसम र राजनीती हुन।तर ती अनुमान प्राय जसो मिल्दैनन।किन भने ती दुबैको चक्रीय प्रणाली नेपालमा निर्माण नहुने भएर रहेछ।हिजो थोपो पानी परेन, ब्यर्थै छाता बोके।मान्छे टेलर्स जाऊॅं न!भन्छन। तर गठें ढोक्सामा पर्ने देखेन।",,,198,33,30
2024-03-01T14:14:27.000Z,text,मानवीयताको मृत्यु हुनु राम्रो हो भने केही भन्नु छैन।,,,4,1,4
2024-03-01T14:11:45.000Z,text,तीनको पेट पाल्ने जिम्मा सरकारलाई लिन लाउनुस न त तर कुटपीट किन?र चोरेको भए त्यै आरोपमा थुन्नु परो।साधारण मान्छेले शहर छोडे भने शहरीया मध्यबर्ग पनि बाटा लाग्नु पर्ला नि?,,,14,2,7
2024-03-01T13:38:53.000Z,text,गठेलाई हामीले सुरु गरेका योजना सकेर देखाउ भन्न सक्नु परो नि उनीहरु कुम्भकर्णे निन्द्रामा छन।,,,7,3,5
2024-03-01T13:35:12.000Z,text,हेर्नु नि के हुदैछ निरन्तरको दवाब पछि।,,,4,2,1
2024-03-01T13:28:29.000Z,text,"शहरहरु सम्पन्नहरुले मात्र शयर गर्ने थलो होईनन साधारण मान्छेहरुले पसिना चुहाएर जीवन धान्ने ठाउ पनि हुन।गरीखाने मान्छेमाथिको अमानवीय र गैरकानुनी दमन गलत हो ।बन्द गर,धरपकड र दमन।",,,183,40,54
2024-02-28T14:43:37.000Z,text,"सरकारमा को को छन ?र,जबजले त्यो क्षमता मजाले राख्छ ।",,,,,2
2024-02-28T13:21:45.000Z,text,खास स्थान बाहेक जताततै निषेधित क्षेत्रको सुचना सहितको डोरी टाग्नु भनेको सरकार जनताको मनबाट अस्वीकृत भएको संदेश हो।डोरीले मान्छेको हात बाध्न सक्छ तर मत र मन बाध्न सक्दैन।विचार सत्ताको दमनले दमित हुन सक्छ तर पराजित हुदैन।,,,177,24,13
2024-02-27T12:37:02.000Z,text,तीन किमी जति फरक होला।,,,1,,2
2024-02-27T02:53:21.000Z,text,बढी जान्ने हुने कुरो त्यो।,,,1,,2
2024-02-27T02:51:59.000Z,text,बढ्ता बुझाई हो त्यो।,,,,,1
2024-02-27T02:20:20.000Z,text,आम राजनीतिक प्रवृति नेपालको के साउथ एशियाकै भनेको ।,,,7,1,3
2024-02-27T02:01:07.000Z,text,सत्तामा हुदा पनि भनिन्छ समाधान गरिन्छ।,,,1,,1
