"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2024-01-01T15:12:35.000Z","video",""हामीले धोती लाउँदैमा तपाईंलाई के आपत्ति छ? हामी धोती लाएर हिँडन नहुने हो? हामी नाङ्गै हिँड्नु पर्ने हो ?  यो कस्तो हुकुमी शासन हो? यो देश हाम्रो हो कि होइन?" पक्राऊ हुनु पूर्व डा. सी. के. राउतले प्रहरीलाई सोधेका थिए।","","https://pbs.twimg.com/ext_tw_video_thumb/1741839441021255680/pu/img/fOuP76i0Oif5qQlc.jpg","575","114","165"
"2024-01-01T15:02:59.000Z","video","यो देशमा कति नश्लभेद छ भने, अन्य पार्टीको राष्ट्रिय अध्यक्षलाई अकारण यसरी समात्न सक्छ ? भन्दै उनले प्रश्न गरे ।","","","248","39","60"
"2024-01-01T08:30:52.000Z","text","Janamat Party chief CK Raut, 50 others arrested

","","","43","1","5"
"2023-11-04T14:24:44.000Z","image","कर्णाली भूकम्पपीडितको राहत-उद्धारको लागि अपील","","https://pbs.twimg.com/media/F-GKlYGWAAIs_Ge?format=jpg&name=900x900","54","2",""
"2023-11-01T14:26:39.000Z","text","अन्तर्राष्ट्रिय बालिका दिवसको अवसरमा ९ कक्षामा अध्ययनरत रजीना खातुन एक घण्टाका लागि मधेश प्रदेशको शिक्षा तथा संस्कृति मन्त्री बनेकी छन् ।","","","37","4",""
"2023-10-30T14:53:30.000Z","text",". 's Nepal visit only lacks hunting to match King George V's: surrounded by courtiers, distanced from general public & victim families and indifferent to grave human-rights violations, inequality, injustice and poverty engulfing the nation. 
 ","","","89","10","5"
"2023-10-30T12:23:05.000Z","image","आज पूर्वाधार विकास समितिको बैठकमा मा. डा. सी. के. राउतबाट सप्तरीमा योजनाहरूको प्रगति संतोषजनक नरहेको r ठेकेदारहरूले धेरै ढिलाई सुस्ती गरेको कुरा राख्दा समितिबाट डा. सी. के. राउतको संयोजकत्वमा अनुगमन टोली गठन गरी #सप्तरी पठाउने निर्देशन सभापतिज्यूले दिनु भएको छ।","","https://pbs.twimg.com/media/F9r-1fsakAASkHO?format=jpg&name=medium","148","9","3"
"2023-10-24T01:57:41.000Z","image","जनमत पार्टीको तर्फबाट विजयादशमीको अवसरमा हार्दिक मंगलमय शुभकामना📢📢📢","","https://pbs.twimg.com/media/F9K2d0iboAAyVOT?format=jpg&name=medium","250","9","10"
"2023-10-07T04:50:20.000Z","image","","","https://pbs.twimg.com/media/F7z65rrbMAAEyVQ?format=jpg&name=medium","1K","162","41"
"2023-08-23T14:27:21.000Z","image","मित्र राष्ट्र भारतलाई यस ऐतिहासिक सफलताको लागि हार्दिक बधाई - यो सम्पूर्ण दक्षिण एशियाली मुलुकहरूको लागि साझा  गौरवको विषय हो। यसमा संलग्न सम्पूर्ण द्रष्टा, वैज्ञानिक तथा जनशक्तिलाई पनि धेरै धेरै बधाई🙏","","https://pbs.twimg.com/media/F4OPfGxW0AEN0zA?format=jpg&name=medium","154","23","10"
"2023-08-19T07:04:25.000Z","image","आज जनमत पार्टीबाट निर्वाचित #प्रदेश #सभा #सदस्यहरूको अनुमोदन रेटिङ्गबारे मधेश र लुम्बिनी प्रदेशमा जनमत संकलन गरिँदै #RightToRecall #Janamat #OnlyHope #DrCKRaut","","https://pbs.twimg.com/media/F34DZhmaUAAqOF9?format=jpg&name=medium,https://pbs.twimg.com/media/F34Dd75bgAAirVL?format=jpg&name=small,https://pbs.twimg.com/media/F34Dd8TbMAE-Try?format=jpg&name=small","78","4","4"
"2023-08-18T15:23:32.000Z","text","","","","63","7","3"
"2023-08-16T14:44:42.000Z","image","भारतको ७७औं स्वतन्त्रता दिवसको अवसरमा नेपाल भारत मैत्री समाजको काठमाडौँमा आयोजित कार्यक्रममा बोल्दै डा, राउतके नेपाल र भारतको मैत्रीपूर्ण सम्बन्ध व्यापारिक र कर्मचारी तहमा मात्रै नभई दुई देशका जनताहरू एक अर्कासँग नजिक भएपछि मात्रै सुमधुर बन्ने बताएका हुन्।","","https://pbs.twimg.com/media/F3qPtjNbQAAnRg7?format=jpg&name=medium","86","7","13"
