Date,Post Type,full_text,Video Thumbnail,Image,Like,Retweet,Reply
2023-07-16T11:19:44.000Z,text,"रोस्ट्रममा उभिएका मन्त्रीलाई आसन ग्रहण गर्न सभामुखले जब निर्देशन दिनुभयो, तब केही सांसदहरु रोस्ट्रम घेर्न पुग्नुभयो ! सुन्नमा या बुझ्नमा के´मा कमजोरी भयो थाहा भएन, तर आज अचम्मको दृश्य देखियो संसदमा !

संसदलाई सार्थक थलो बनाउन संयम र परिपक्वता साथ गम्भीर विमर्श जरुरी देखियो l",,,409,76,126
2023-07-05T15:20:26.000Z,text,"मिटर ब्याजिहरुलाई कार्वाही गर्न र पीडितलाई न्यायदिन सरकारले ल्याएको अध्यादेश संविधानको धारा ११४ अनुरुप आज ६० दिन कट्नुपुर्व संसदबाट पारित नभएपछि स्वत: निष्क्रिय भएको छ l

एकापसलाई दोष दिएर हामी उम्कौँला तर पीडितलाई जवाफ के दिने ? कि फेरि तिनको आन्दोलनमा पलेटी मार्न जाने ?",,,103,20,27
2023-07-05T15:16:15.000Z,text,"आलोच्य अभिव्यक्तिको आलोचना जरुरी l
तर मिटर ब्याज पीडितहरुलाई न्यायदिन ल्याइएको `केही नेपाल ऎन संशोधन गर्ने विधेयक´ आज संसदबाट पारित नहुँदा निष्क्रिय भएको छ l `विधेयक पारित हुन दिएर मात्र अवरोध गरौं´ भन्ने बुद्दिमत्ता कुनैपनि विपक्षी दलमा देखिएन l

अत्यन्तै दु:खद !!!!",,,132,27,29
2023-07-05T15:09:29.000Z,text,"हलुका अभिव्यक्तिको गम्भीर अर्थ र असर हुनसक्छ भन्ने हेक्का नराख्नु प्रधानमन्त्रीको गल्ती हो l नेपालको प्रम नेपालको संसदले चयन गर्दछ र गर्ने हो l मित्र रास्ट्रहरुलाई मित्रताकै सिमामा राख्ने कर्तव्य मुलत प्रमकै हो !

अत प्रश्न हामीनै उठाइरहेका छौं, प्रतिपक्षको त मुल कर्तव्यनै हो !",,,674,113,158
2023-04-28T15:07:47.000Z,video,"बैशाख १७ गते आइतबार अपरान्ह ५.३० बजे काठमाडौ पुग्दै हुनुन्छ आदरणीय दाइ चन्द्र भण्डारी ! 

केहिदिन अघि उहाँसँग अनलाइन संवाद गरिरहँदा छोरी स्वीकृतिले गरेको यो रेकर्ड चन्द्र दाइको अनुमतिले यहाँ प्रस्तुत छ l यो अडियो-भिडियोले उहाँको स्वास्थ स्थितिबारे सुसूचित हुन सघाउने छ l",,https://pbs.twimg.com/ext_tw_video_thumb/1651966346849304578/pu/img/SoFnYgepcWJi8Xog.jpg,849,86,82
2023-04-26T00:31:32.000Z,text,"उपचुनावमा विजयी मित्रहरूलाई बधाई तथा शुभकामना l

परिणामले हामीलाई रुपान्तरित हुन सन्देश दिएको छ l देशको समय बदल्न नेतृत्व गरेको दलले बदलिएको समय अनुरुप आफुलाई बदल्नुछ l नवीन अभियानमा, नयाँ ढंगले जुट्नेछौं हामी l आदरणीय मतदाताको प्रत्येक मतलाई सम्मान छ l जय नेपाल !",,,827,92,383
2023-04-20T14:18:27.000Z,video,"आँसु आउँदा आमा सम्झन्छन् रे, जसको आमा धर्तीमै हुनुन्छ l आमा सम्झिँदा आँसु आउँछ रे जसको आमा स्वर्गमा हुनुन्छ !

स्वर्गमा रहेकी मेरि ममतामयी आमा अनि बाबालाई असिम श्रद्धाले सम्झिन्दै `आमाको मुख हेर्ने पर्व´ को अवसरमा यो धर्तिका सबै आमालाई सम्मान l अनि शुभकामना सबैलाई मुरिमुरी !",,https://pbs.twimg.com/ext_tw_video_thumb/1649054886607339525/pu/img/WUOsjy-RF9fVDVnQ.jpg,424,64,134
2023-04-17T12:19:33.000Z,video,बैशाख ५ गते अपरान्ह १.०० बजे l दमौलीको अनशन चौतारी l,,https://pbs.twimg.com/ext_tw_video_thumb/1647937790888513536/pu/img/jUqhdNInl9BLh0uX.jpg,220,35,81
2023-04-14T13:32:18.000Z,video,"०८० शुभ रहोस् l मंगल बनोस् !

हामी सपरिवारका तर्फबाट तपाईंको सपरिवारलाई हार्दिक मंगलमय शुभकामना !",,https://pbs.twimg.com/ext_tw_video_thumb/1646868941627850762/pu/img/T1zcqFDP-I9qUnmp.jpg,1K,24,104
2023-04-13T13:51:55.000Z,image,"व्यङ्ग्य र आलोचना गर्ने अधिकार लोकतन्त्रले हरेकलाई दिएको छ l यसलाई कसैले पनि नकारात्मक रूपमा लिनुहुन्न l तथ्यमा आधारित जो हुन्छन् तिनले परिमार्जनलाई सघाउँछन्, जो हुन्नन् ती समयसँगै हराउँछन् !

नवबर्ष शुभकामना दिँदै यस्तो व्यङ्ग्य, आलोचना र प्रश्नलाई सदैब स्वागतको प्रतिबद्धता !",,https://pbs.twimg.com/media/FtmVhIqaQAEhvsK?format=jpg&name=900x900,1.3K,212,362
2023-03-28T06:34:05.000Z,text,"सम्माननिय  लोकतान्त्रिक गणतन्त्रमा विरोध गर्नेको मुख थुन्न या थुनामा राख्न मिल्दैन l प्रहरीले युवाको मुख थुनिरहेको दृश्य दु:खद र आपत्तिजनक थियो !

आफू विरुद्ध नारा लगाएका युवालाई तत्काल रिहा गर्न अविलम्ब पहलको माग गर्दछु l",,,737,165,188
